season,player,pos,w_pct,ast,reb,blk,stl,fg3a
2015-16,DeAndre Jordan,C,0.662,1.2,14.7,2.5,0.7,0
2015-16,DeMar DeRozan,G,0.679,4,4.5,0.3,1,1.8
2015-16,DeMarcus Cousins,C,0.446,3.4,12,1.5,1.6,3.4
2015-16,DeMarre Carroll,F,0.615,1.2,5.6,0.3,2,5.4
2015-16,Delon Wright,G,0.704,4.9,5.8,0.5,1.3,2
2015-16,Dennis Schroder,G,0.588,7.8,4.5,0.2,1.6,5.3
2015-16,Deron Williams,G,0.477,6.5,3.2,0.2,1,4.8
2015-16,Derrick Favors,F,0.484,1.7,9.1,1.7,1.3,0.1
2015-16,Derrick Rose,G,0.485,5.3,3.9,0.2,0.8,2.6
2015-16,Derrick Williams,F,0.4,1.9,7.4,0.2,0.7,3.8
2015-16,Devin Booker,G,0.263,3.4,3.2,0.3,0.8,4.9
2015-16,Devin Harris,G,0.547,3.3,3.9,0.4,1.7,4.4
2015-16,Devyn Marble,F,0.429,1.7,5.5,0.1,1.9,4.6
2015-16,Dewayne Dedmon,C,0.362,0.7,11.6,2.3,1.1,0
2015-16,Dion Waiters,G,0.679,2.6,3.4,0.3,1.4,4
2015-16,Dirk Nowitzki,F,0.507,2,7.4,0.8,0.8,5.2
2015-16,Donald Sloan,G,0.213,7.3,4.7,0.1,0.9,2.7
2015-16,Donatas Motiejunas,F,0.514,2.7,7.2,0.3,1.1,3.8
2015-16,Doug McDermott,F,0.506,1.1,3.8,0.1,0.3,5
2015-16,Draymond Green,F,0.901,7.7,9.9,1.4,1.5,3.3
2015-16,Drew Gooden,F,0.6,1.5,10,1.3,0.9,4.8
2015-16,Duje Dukan,F,0,1.5,5.9,0,1.5,7.4
2015-16,Dwight Howard,C,0.479,1.5,13.2,1.8,1.1,0.1
2015-16,Dwight Powell,F,0.507,1.6,9.9,0.9,1.3,0.6
2015-16,Dwyane Wade,G,0.581,5.5,4.8,0.7,1.3,0.7
2015-16,E'Twaun Moore,G,0.492,2.8,3.8,0.5,1.1,3
2015-16,Ed Davis,F,0.531,1.9,12.8,1.5,1.2,0
2015-16,Elfrid Payton,G,0.438,7.8,4.4,0.3,1.5,1.5
2015-16,Elton Brand,F,0.118,2.9,10.1,1.3,1.4,0.2
2015-16,Emmanuel Mudiay,G,0.426,6.5,4,0.6,1.1,4
2015-16,Enes Kanter,C,0.671,0.7,13.9,0.7,0.5,0.4
2015-16,Eric Bledsoe,G,0.387,6.5,4.3,0.6,2.1,4.4
2015-16,Eric Gordon,G,0.311,2.9,2.4,0.3,1,7.1
2015-16,Eric Moreland,F,0.125,0.8,8.3,3,0,0
2015-16,Ersan Ilyasova,F,0.473,1.3,7.7,0.6,1,5
2015-16,Evan Fournier,G,0.418,3,3.2,0,1.3,5.5
2015-16,Evan Turner,G,0.58,5.7,6.3,0.4,1.3,1.3
2015-16,Festus Ezeli,C,0.913,1.5,12,2.3,0.8,0
2015-16,Frank Kaminsky,C,0.58,2.1,7.1,0.9,0.8,4.3
2015-16,Garrett Temple,G,0.5,2.6,3.9,0.3,1.3,4.8
2015-16,Gary Harris,G,0.408,2.2,3.2,0.3,1.4,4.4
2015-16,George Hill,G,0.554,3.7,4.2,0.2,1.2,4.5
2015-16,Gerald Green,F,0.58,1.3,3.8,0.4,0.9,6
2015-16,Gerald Henderson,G,0.542,1.9,5.3,0.5,1,3.4
2015-16,Giannis Antetokounmpo,F,0.4,4.4,7.8,1.4,1.2,1.4
2015-16,Glenn Robinson III,G,0.533,1.8,4.8,0.6,1.2,2.6
2015-16,Goran Dragic,G,0.611,6.4,4.2,0.3,1.1,3.1
2015-16,Gordon Hayward,F,0.475,3.7,4.9,0.3,1.2,5.1
2015-16,Gorgui Dieng,C,0.354,2.3,9.5,1.6,1.5,0.3
2015-16,Greg Monroe,C,0.405,2.8,10.8,1,1.1,0
2015-16,Greg Smith,C,0.444,1.1,7.9,0.2,0.8,0
2015-16,Greivis Vasquez,G,0.391,7.1,3.7,0,0.8,5.7
2015-16,Harrison Barnes,F,0.894,2.1,5.7,0.2,0.7,3.8
2015-16,Hassan Whiteside,C,0.575,0.5,14.7,4.6,0.7,0
2015-16,Henry Sims,C,0.143,1.2,9.9,1.9,1.2,0
2015-16,Hollis Thompson,G,0.13,1.7,4.5,0.4,0.6,6.6
2015-16,Ian Clark,G,0.894,4,4.2,0.8,1.1,5.2
2015-16,Ian Mahinmi,C,0.577,2.1,10.1,1.5,1.3,0
2015-16,Iman Shumpert,G,0.722,2.5,5.6,0.5,1.5,4
2015-16,Isaiah Canaan,G,0.13,2.5,3.2,0.2,1,8.9
2015-16,Isaiah Thomas,G,0.585,6.9,3.3,0.1,1.2,6.3
2015-16,Ish Smith,G,0.208,8.1,4.9,0.4,1.4,2.7
2015-16,JR Smith,G,0.688,2,3.3,0.3,1.2,7.8
2015-16,JJ Hickson,C,0.486,1.9,10.9,1.2,1.2,0.1
2015-16,JJ Redick,G,0.667,1.8,2.4,0.1,0.7,7.2
2015-16,JaKarr Sampson,G,0.247,1.4,5.9,1,0.7,2
2015-16,JaMychal Green,F,0.5,1.7,9.3,0.8,1.1,1.1
2015-16,JaVale McGee,C,0.441,0.3,12.9,2.5,0.5,0.1
2015-16,Jabari Parker,F,0.421,1.9,5.9,0.4,1,0.5
2015-16,Jae Crowder,F,0.589,2.1,5.8,0.5,2,5.7
2015-16,Jahlil Okafor,C,0.113,1.5,8.4,1.4,0.5,0.1
2015-16,Jamal Crawford,G,0.646,3.1,2.5,0.2,0.9,5.8
2015-16,Jameer Nelson,G,0.308,6.6,4,0.2,0.9,5
2015-16,James Anderson,G,0.373,2,4.3,0.7,1,4.3
2015-16,James Ennis,F,0.5,2.3,4.6,0.5,1.8,6.4
2015-16,James Harden,G,0.5,7.1,5.8,0.6,1.6,7.6
2015-16,James Johnson,F,0.614,2.6,4.9,1.3,1.1,2.6
2015-16,James Jones,G,0.688,1.1,3.9,0.8,0.9,8.1
2015-16,James Michael McAdoo,F,0.902,2.3,8,1.1,1.4,0.3
2015-16,James Young,G,0.414,1.6,4.7,0.2,1.1,4.7
2015-16,Jared Dudley,F,0.494,2.9,4.9,0.3,1.3,4.1
2015-16,Jared Sullinger,C,0.58,3.5,12.7,0.9,1.4,1.9
2015-16,Jarell Eddie,G,0.5,1.2,5.6,0.2,1.2,11.5
2015-16,Jarell Martin,F,0.37,1.4,8.2,0.7,0.8,0.2
2015-16,Jarrett Jack,G,0.313,8.3,4.8,0.2,1.2,3.6
2015-16,Jason Smith,F,0.434,1.9,6.7,2,1,0.5
2015-16,Jason Terry,G,0.514,2.9,2.3,0.3,1.3,7.5
2015-16,Jason Thompson,F,0.809,2.2,10.2,1.5,0.9,1.1
2015-16,Jeff Ayres,F,0.647,1.7,7.4,1,0,0.3
2015-16,Jeff Green,F,0.6,2.2,5.3,0.6,0.9,3.4
2015-16,Jeff Teague,G,0.595,7.5,3.4,0.4,1.5,4.4
2015-16,Jeff Withey,C,0.49,1.1,9.5,2.9,1.1,0.1
2015-16,Jerami Grant,F,0.117,2.4,6.3,2.2,0.9,2.5
2015-16,Jeremy Evans,F,0.533,0.3,7.7,1.3,0.9,2.3
2015-16,Jeremy Lamb,G,0.606,2.3,7.4,0.9,1.2,5.3
2015-16,Jeremy Lin,G,0.603,4.1,4.4,0.7,1,4
2015-16,Jerian Grant,G,0.382,5,4.1,0.3,1.4,2.8
2015-16,Jerryd Bayless,G,0.404,3.9,3.4,0.3,1.1,5.5
2015-16,Jimmy Butler,G,0.552,4.7,5.2,0.6,1.6,3
2015-16,Joakim Noah,C,0.517,6.2,14.4,1.6,1,0.1
2015-16,Jodie Meeks,G,1,2.5,4.1,0,0,7.5
2015-16,Joe Ingles,F,0.494,2.8,4.4,0.1,1.6,6.1
2015-16,Joe Johnson,F,0.383,4.2,3.9,0.1,0.8,4.2
2015-16,Joe Young,G,0.463,6.1,4.7,0,1.4,4.3
2015-16,Joel Anthony,C,0.632,0.4,7.9,4.5,0.8,0
2015-16,Joffrey Lauvergne,C,0.407,1.9,10,0.5,0.4,1.8
2015-16,John Henson,F,0.386,2,8.3,4.1,0.7,0
2015-16,John Jenkins,G,0.419,2.6,4.3,0.1,0.6,3.8
2015-16,John Wall,G,0.481,10.2,4.9,0.8,1.9,4.2
2015-16,Johnny O'Bryant III,F,0.409,1.3,7.4,0.3,0.8,0
2015-16,Jon Leuer,F,0.328,2.1,10.7,0.9,1.1,3.2
2015-16,Jonas Jerebko,F,0.603,1.9,8.8,0.7,0.6,3.3
2015-16,Jonas Valanciunas,C,0.667,1,12.6,1.8,0.6,0
2015-16,Jonathon Simmons,G,0.855,2.6,4.3,0.2,1.1,2.1
2015-16,Jordan Adams,G,0,7.4,4.9,0,7.4,2.5
2015-16,Jordan Clarkson,G,0.215,2.7,4.4,0.1,1.2,4.5
2015-16,Jordan Farmar,G,0.167,4.6,3.1,0.2,1.9,5.6
2015-16,Jordan Hamilton,G,0.364,3,7.4,0.4,0.9,5.3
2015-16,Jordan Hill,C,0.548,2.1,10.7,0.9,0.9,0
2015-16,Jordan McRae,G,0.455,4.6,3.7,0.2,0.6,4
2015-16,Jordan Mickey,F,0.563,0.6,8.2,6.9,0,0
2015-16,Jorge Gutierrez,G,0.75,9.7,4,0,1.7,1.1
2015-16,Jose Calderon,G,0.403,5.3,4.1,0.1,1.1,3.6
2015-16,J.J. Barea,G,0.514,6.5,3.3,0,0.6,5.6
2015-16,Josh Huestis,F,0.4,0,6.5,1.3,0.7,3.9
2015-16,Josh McRoberts,F,0.643,4.9,6.4,0.4,1.1,3
2015-16,Josh Richardson,G,0.558,2.4,3.5,0.8,1.2,3.7
2015-16,Josh Smith,F,0.564,3.7,7.9,1.9,1.4,5.9
2015-16,Jrue Holiday,G,0.415,7.7,3.8,0.4,1.7,5.1
2015-16,Julius Randle,F,0.21,2.3,13.1,0.5,0.8,0.6
2015-16,Justin Anderson,G,0.509,1.6,7.3,1.4,1.1,4.6
2015-16,Justin Holiday,G,0.528,2.6,4.2,0.9,1.5,4.9
2015-16,Justise Winslow,F,0.59,1.9,6.5,0.4,1.1,1.9
2015-16,Jusuf Nurkic,C,0.438,2.6,11.5,2.9,1.6,0.2
2015-16,KJ McDaniels,G,0.459,1.5,6.4,0.9,1.1,3.8
2015-16,Karl-Anthony Towns,C,0.354,2.2,11.7,1.9,0.8,1.2
2015-16,Kawhi Leonard,F,0.833,2.8,7.5,1.1,1.9,4.4
2015-16,Kelly Olynyk,C,0.58,2.7,7.3,0.9,1.3,5.4
2015-16,Kelly Oubre Jr.,F,0.492,0.7,7.1,0.4,1.2,4.2
2015-16,Kemba Walker,G,0.58,5.3,4.5,0.5,1.6,6.1
2015-16,Kendall Marshall,G,0.1,6.6,2.5,0.2,1.4,4.4
2015-16,Kendrick Perkins,C,0.351,2.1,8.5,0.7,0.7,0
2015-16,Kenneth Faried,F,0.388,1.7,12.3,1.3,0.7,0
2015-16,Kent Bazemore,F,0.587,3,6.6,0.7,1.7,5.3
2015-16,Kentavious Caldwell-Pope,G,0.539,1.8,3.6,0.2,1.4,4.8
2015-16,Kevin Durant,F,0.722,5,8.2,1.2,1,6.7
2015-16,Kevin Garnett,F,0.368,4,9.7,0.6,1.8,0.1
2015-16,Kevin Love,F,0.688,2.7,11.3,0.6,0.9,6.5
2015-16,Kevin Martin,G,0.436,1.9,3.6,0.1,0.9,4.5
2015-16,Kevin Seraphin,F,0.313,3.2,8.6,2.5,0.5,0.1
2015-16,Kevon Looney,F,0.8,0,17.5,0,0,3.5
2015-16,Khris Middleton,G,0.418,4.2,3.8,0.2,1.7,4.6
2015-16,Kirk Hinrich,G,0.565,4.2,4,0.1,0.9,3.5
2015-16,Klay Thompson,G,0.888,2.2,4.1,0.7,0.8,8.8
2015-16,Kobe Bryant,F,0.197,3.6,4.8,0.3,1.2,9
2015-16,Kosta Koufos,C,0.41,0.8,10.3,1.7,1,0
2015-16,Kris Humphries,F,0.547,1.6,9.4,1,0.7,4.7
2015-16,Kristaps Porzingis,F,0.389,1.7,9.3,2.4,0.9,4.3
2015-16,Kyle Anderson,F,0.821,3.6,7.1,0.8,1.7,1.1
2015-16,Kyle Korver,G,0.575,2.5,3.9,0.5,0.9,5.9
2015-16,Kyle Lowry,G,0.701,6.2,4.6,0.4,2,6.9
2015-16,Kyle O'Quinn,F,0.4,3.4,11.8,2.3,0.9,1
2015-16,Kyle Singler,F,0.632,0.9,5.2,0.3,1.1,3.6
2015-16,Kyrie Irving,G,0.698,5.4,3.4,0.4,1.2,5.7
2015-16,LaMarcus Aldridge,F,0.824,1.8,10.1,1.3,0.6,0.3
2015-16,Lamar Patterson,G,0.657,3.6,4.6,0.2,0.8,4.5
2015-16,Lance Stephenson,F,0.522,3.5,5.8,0.2,1.1,2
2015-16,Lance Thomas,F,0.424,1.5,3.6,0.2,0.6,3
2015-16,Langston Galloway,G,0.39,3.7,5.1,0.4,1.4,4
2015-16,Larry Nance Jr.,F,0.222,1.3,8.9,0.7,1.5,0.3
2015-16,Lavoy Allen,F,0.544,1.7,9.5,0.9,0.6,0
2015-16,LeBron James,F,0.737,6.8,7.5,0.7,1.4,3.7
2015-16,Leandro Barbosa,G,0.882,2.7,3.9,0.3,1.5,3.7
2015-16,Lorenzo Brown,G,0.125,6.5,4.1,0.6,1.8,4.7
2015-16,Lou Amundson,F,0.379,2.1,8.6,1.2,1.1,0
2015-16,Lou Williams,G,0.209,3.2,3.2,0.4,1.2,6
2015-16,Luc Mbah a Moute,F,0.653,0.8,4.8,0.5,1.2,1.1
2015-16,Lucas Nogueira,C,0.586,1.1,7.4,1.9,1.9,0.5
2015-16,Luis Montero,G,0.5,0.9,3.4,0,0,7.7
2015-16,Luis Scola,F,0.658,1.5,7.9,0.6,1,3.5
2015-16,Luke Babbitt,F,0.34,2.3,6.3,0.3,0.5,4.6
2015-16,Luol Deng,F,0.608,2.1,6.7,0.4,1.1,3.8
2015-16,Manu Ginobili,G,0.81,5.6,4.6,0.3,2.1,5.7
2015-16,Marc Gasol,C,0.577,3.9,7.3,1.4,1,0.1
2015-16,Marcelo Huertas,G,0.151,7.5,3.7,0.3,1.1,2.5
2015-16,Marcin Gortat,C,0.467,1.7,11.8,1.5,0.8,0
2015-16,Marco Belinelli,G,0.397,2.7,2.5,0,0.8,6.4
2015-16,Marcus Morris,F,0.525,2.5,5.1,0.3,0.8,3.8
2015-16,Marcus Smart,G,0.59,4,5.5,0.4,2,5.2
2015-16,Marcus Thornton,F,0.525,2.8,4.9,0.1,1.5,8.8
2015-16,Mario Hezonja,G,0.418,2.8,4.5,0.4,1,4.9
2015-16,Markel Brown,G,0.194,3.3,4.5,0.5,1.4,4.4
2015-16,Markieff Morris,F,0.344,2.7,7.8,0.8,1.3,3.4
2015-16,Marreese Speights,F,0.889,2.6,10.3,1.5,0.8,2.7
2015-16,Marvin Williams,F,0.58,1.7,8,1.2,0.9,5.8
2015-16,Mason Plumlee,C,0.537,3.9,10.9,1.5,1.2,0.1
2015-16,Matt Barnes,F,0.5,2.7,6.9,0.9,1.3,6.1
2015-16,Matt Bonner,C,0.833,1.6,4.7,0.2,1,5.9
2015-16,Matthew Dellavedova,G,0.711,6.5,3.1,0.2,0.8,4.6
2015-16,Maurice Harkless,F,0.513,1.7,6.9,0.9,1.2,3.5
2015-16,Metta World Peace,F,0.171,1.6,5.4,0.7,1.3,5.1
2015-16,Meyers Leonard,F,0.541,2.5,8.5,0.5,0.2,6.2
2015-16,Michael Beasley,F,0.5,1.6,9.7,0.9,1.1,0.9
2015-16,Michael Carter-Williams,G,0.389,6.1,6,0.9,1.7,1.2
2015-16,Michael Kidd-Gilchrist,F,0.714,1.6,7.9,0.5,0.5,1.2
2015-16,Mike Conley,G,0.589,7,3.4,0.3,1.4,4.4
2015-16,Mike Dunleavy,G,0.419,2,4.3,0.5,0.7,5.1
2015-16,Mike Miller,G,0.447,3.9,5.1,0.4,1.3,5
2015-16,Mike Muscala,F,0.567,2.2,7.5,1.7,0.8,2.5
2015-16,Mike Scott,F,0.613,2.5,6.5,0.5,0.8,5
2015-16,Miles Plumlee,C,0.377,0.7,9.6,2.1,0.9,0
2015-16,Mirza Teletovic,F,0.291,1.9,6.5,0.4,0.7,9.8
2015-16,Mitch McGary,F,0.85,1.5,8.9,1,0.5,2
2015-16,Mo Williams,G,0.659,4.7,3.5,0.2,0.7,4.9
2015-16,Monta Ellis,G,0.543,5,3.6,0.5,2,3.7
2015-16,Montrezl Harrell,F,0.436,1.6,6.2,1,1,0.1
2015-16,Myles Turner,F,0.533,1.1,8.7,2.3,0.7,0.4
2015-16,Nazr Mohammed,C,1,0,7.4,0,0,0
2015-16,Nemanja Bjelica,F,0.333,2.8,7,0.7,0.9,4.2
2015-16,Nene,F,0.491,3.2,8.5,0.9,1.8,0.1
2015-16,Nerlens Noel,F,0.149,2.2,9.9,1.8,2.2,0
2015-16,Nick Collison,F,0.661,2.7,8.8,0.8,0.8,0.1
2015-16,Nick Young,F,0.241,1.2,3.4,0.2,0.8,8.3
2015-16,Nicolas Batum,G,0.586,5.9,6.3,0.6,1,5.9
2015-16,Nik Stauskas,G,0.11,2.7,3.6,0.4,0.9,6.5
2015-16,Nikola Jokic,C,0.388,3.9,11.6,1,1.6,1.7
2015-16,Nikola Mirotic,F,0.561,2.2,7.9,1,1.3,7.6
2015-16,Nikola Pekovic,C,0.167,2.5,4.8,0,0.2,0
2015-16,Nikola Vucevic,C,0.431,3.2,10.2,1.2,0.9,0.2
2015-16,Noah Vonleh,F,0.526,0.9,9.4,0.8,0.8,1.4
2015-16,Norman Powell,G,0.653,2.3,5.5,0.5,1.4,4.4
2015-16,Norris Cole,G,0.444,5,4.5,0.2,1.1,3.1
2015-16,O.J. Mayo,G,0.415,3.9,3.5,0.3,1.6,5.4
2015-16,Omer Asik,C,0.426,0.8,12.7,0.7,0.6,0
2015-16,Omri Casspi,F,0.391,1.8,7.8,0.3,1.1,5.2
2015-16,Otto Porter Jr.,F,0.48,1.9,6.2,0.5,1.7,4.2
2015-16,PJ Hairston,F,0.47,1,4.8,0.3,0.9,6.6
2015-16,PJ Tucker,F,0.28,2.5,7.3,0.3,1.5,2.9
2015-16,Pablo Prigioni,G,0.627,5.7,5,0,2.3,4.2
2015-16,Pat Connaughton,G,0.5,2.5,8,0,0.5,5.3
2015-16,Patrick Beverley,G,0.493,4.2,4.4,0.5,1.7,5.5
2015-16,Patrick Patterson,F,0.684,1.7,6.1,0.6,0.9,5.2
2015-16,Patty Mills,G,0.815,4.9,3.4,0.1,1.3,6.9
2015-16,Pau Gasol,C,0.5,4.6,12.5,2.3,0.7,1.1
2015-16,Paul George,F,0.543,4.2,7.2,0.4,1.9,7.2
2015-16,Paul Millsap,F,0.593,3.6,10,1.9,2,3.2
2015-16,Paul Pierce,F,0.647,2.1,5.4,0.5,1,7.1
2015-16,Quincy Acy,F,0.356,1.1,7.7,1,1.2,2
2015-16,RJ Hunter,G,0.583,1.5,4.2,0.5,1.6,7.2
2015-16,Rajon Rondo,G,0.403,11.9,6.2,0.1,2,2.4
2015-16,Rakeem Christmas,F,1,0,5.9,0,0,0
2015-16,Ramon Sessions,G,0.5,5.2,4.4,0.1,1,2.4
2015-16,Randy Foye,G,0.457,3.5,3.4,0.6,0.9,5.5
2015-16,Rashad Vaughn,G,0.429,1.4,3.2,0.6,1,5.3
2015-16,Raul Neto,G,0.494,4.2,2.9,0,1.5,3.9
2015-16,Raymond Felton,G,0.5,4.7,4.2,0.2,1.1,3.5
2015-16,Reggie Bullock,F,0.595,2.3,5.7,0.2,0.8,4.4
2015-16,Reggie Jackson,G,0.544,7.3,3.8,0.2,0.9,5
2015-16,Richard Jefferson,F,0.689,1.6,3.5,0.4,0.9,4.7
2015-16,Richaun Holmes,F,0.137,1.7,6.9,2.1,1,2.3
2015-16,Ricky Rubio,G,0.368,10.2,5.1,0.2,2.5,2.9
2015-16,Robert Covington,F,0.149,1.8,7.9,0.8,2,9.1
2015-16,Robert Sacre,C,0.08,1.6,8.1,1.1,0.4,0
2015-16,Robin Lopez,C,0.39,1.8,9.8,2.1,0.3,0
2015-16,Rodney Hood,G,0.494,3,3.8,0.2,1,6.4
2015-16,Rodney Stuckey,G,0.569,4,4.4,0.2,1.2,2.3
2015-16,Rondae Hollis-Jefferson,G,0.241,2.5,9,0.9,2.3,0.8
2015-16,Ronnie Price,G,0.323,4.4,2.9,0.4,2.2,5.8
2015-16,Roy Hibbert,C,0.21,1.8,7.6,2.1,0.6,0
2015-16,Rudy Gay,F,0.414,1.8,6.9,0.8,1.5,3.3
2015-16,Rudy Gobert,C,0.541,1.7,12.4,2.5,0.8,0
2015-16,Russell Westbrook,G,0.688,10.9,8.2,0.3,2.1,4.5
2015-16,Ryan Anderson,F,0.364,1.3,7.1,0.4,0.7,6.4
2015-16,Ryan Kelly,F,0.083,1.5,9.3,0.8,1,2.8
2015-16,Salah Mejri,C,0.471,0.9,11.1,3.3,0.7,0.1
2015-16,Sam Dekker,F,0.333,0,5.9,0,5.9,0
2015-16,Sasha Kaun,C,0.72,1.1,9.8,1.9,1.5,0
2015-16,Sasha Vujacic,G,0.361,3.3,5.9,0.2,1.3,5.7
2015-16,Sean Kilpatrick,G,0.226,1.7,3.3,0.1,0.7,6.7
2015-16,Serge Ibaka,F,0.692,1,7.7,2.1,0.5,2.6
2015-16,Sergey Karasev,G,0.225,3.2,5.2,0.2,0.5,3.3
2015-16,Seth Curry,G,0.386,3.5,3.1,0.2,1.1,5.8
2015-16,Shabazz Muhammad,F,0.354,1.1,5.7,0.1,0.5,3.3
2015-16,Shabazz Napier,G,0.418,5.8,3.3,0.1,1.4,6.2
2015-16,Shane Larkin,G,0.256,7,3.7,0.2,2,2.2
2015-16,Shaun Livingston,G,0.885,5.6,4,0.6,1.4,0.3
2015-16,Shayne Whittington,F,0.571,2.7,10.6,0.9,0.9,1.8
2015-16,Shelvin Mack,G,0.519,6.4,4.4,0.1,1.2,4.3
2015-16,Solomon Hill,F,0.525,2.4,6.9,0.5,1.5,3.1
2015-16,Spencer Dinwiddie,G,0.417,5,3.8,0,0.7,2.3
2015-16,Spencer Hawes,F,0.526,3.8,8.5,0.9,0.8,3.5
2015-16,Stanley Johnson,F,0.507,2.5,6.5,0.3,1.2,4.4
2015-16,Stephen Curry,G,0.899,7,5.7,0.2,2.3,11.8
2015-16,Steve Blake,G,0.586,7.3,3.2,0.2,0.9,5.5
2015-16,Steve Novak,F,0.8,0,4.1,0,0,12.2
2015-16,Steven Adams,C,0.675,1.1,9.5,1.6,0.8,0
2015-16,T.J. McConnell,G,0.123,8.2,5.6,0.2,2.1,2
2015-16,TJ Warren,F,0.298,1.5,4.9,0.5,1.2,2.4
2015-16,Taj Gibson,F,0.507,2,9.4,1.4,0.9,0.1
2015-16,Tarik Black,C,0.154,1.2,11.4,1.3,1,0
2015-16,Tayshaun Prince,F,0.351,1.8,3.6,0.3,0.9,0.6
2015-16,Terrence Jones,F,0.48,1.4,7.3,1.3,0.8,2.7
2015-16,Terrence Ross,F,0.726,1.2,3.8,0.5,1.1,7
2015-16,Terry Rozier,G,0.615,4.3,7.3,0.1,0.7,3.1
2015-16,Thabo Sefolosha,F,0.56,2.2,6.8,0.8,1.7,2.5
2015-16,Thaddeus Young,F,0.288,2,9.9,0.6,1.7,0.4
2015-16,Thanasis Antetokounmpo,F,0.5,0,5.8,0,0,5.8
2015-16,Thomas Robinson,F,0.225,1.8,14.1,1.4,1.5,0
2015-16,Tiago Splitter,C,0.583,1.9,7.5,0.7,1.2,0.1
2015-16,Tibor Pleiss,C,0.583,0.9,6.6,0.9,0.4,0.9
2015-16,Tim Duncan,C,0.82,3.8,10.5,1.8,1.1,0
2015-16,Tim Frazier,G,0.49,7.9,5.3,0.1,1.6,2.3
2015-16,Tim Hardaway Jr.,G,0.569,2.1,3.6,0.3,0.9,5.9
2015-16,Timofey Mozgov,C,0.684,0.9,9.2,1.5,0.6,0.2
2015-16,Tobias Harris,F,0.487,2.4,7.3,0.6,0.9,3.4
2015-16,Toney Douglas,G,0.361,4.5,4.1,0.1,2,5.8
2015-16,Tony Allen,G,0.531,1.6,6.6,0.4,2.4,0.9
2015-16,Tony Parker,G,0.819,6.9,3.2,0.2,1,1.2
2015-16,Tony Snell,F,0.516,1.7,5.5,0.5,0.4,4.3
2015-16,Tony Wroten,G,0,5,5.2,0,0.7,4.2
2015-16,Trevor Ariza,F,0.494,2.4,4.6,0.3,2,6.3
2015-16,Trevor Booker,F,0.494,1.8,10,0.9,1.3,0.9
2015-16,Trey Burke,G,0.484,3.9,3,0.2,0.9,6.7
2015-16,Trey Lyles,F,0.475,1.5,7.8,0.5,0.7,3.3
2015-16,Tristan Thompson,C,0.695,1,11.7,0.8,0.6,0
2015-16,Troy Daniels,G,0.581,1.6,4.3,0.2,0.8,9.2
2015-16,Ty Lawson,G,0.47,6,3.1,0.2,1.4,2.8
2015-16,Tyler Ennis,G,0.37,5.2,4.1,0.1,1.4,2.1
2015-16,Tyler Hansbrough,F,0.636,0.8,9.3,0.7,1.3,0.3
2015-16,Tyler Johnson,G,0.528,3.3,4.5,0.6,1,3
2015-16,Tyler Zeller,C,0.633,1.5,9,1.1,0.5,0
2015-16,Tyreke Evans,G,0.44,7.7,6.1,0.4,1.5,4
2015-16,Tyson Chandler,C,0.273,1.4,12.8,1,0.8,0
2015-16,Tyus Jones,G,0.351,6.8,3,0.2,1.9,3.3
2015-16,Udonis Haslem,F,0.676,1.9,10.4,0.3,0.7,1.2
2015-16,Victor Oladipo,G,0.444,4.3,5.2,0.8,1.8,4.3
2015-16,Vince Carter,G,0.55,2,5.2,0.6,1.4,6.1
2015-16,Walter Tavares,C,0.636,1.5,10.4,3,0.5,0
2015-16,Wayne Ellington,G,0.237,1.9,3.9,0.1,1.1,6
2015-16,Wesley Johnson,F,0.638,1.1,5.4,1.2,1.9,6.7
2015-16,Wesley Matthews,G,0.513,2.1,3.2,0.2,1.1,7.1
2015-16,Will Barton,F,0.402,3.1,7.3,0.6,1.1,5
2015-16,Willie Cauley-Stein,C,0.394,0.9,9,1.7,1.2,0.1
2015-16,Willie Reed,F,0.205,0.8,10.3,2.5,0.5,0
2015-16,Xavier Munford,G,0.214,3.2,4.6,0.4,1.9,3.4
2015-16,Zach LaVine,G,0.354,3.9,3.6,0.3,1.1,5
2015-16,Zach Randolph,F,0.544,2.5,9.4,0.2,0.8,0.5
2015-16,Zaza Pachulia,C,0.526,2.3,12.9,0.4,1.1,0.1
